@relation dataset

@attribute a numeric
@attribute b numeric
@attribute c numeric
@attribute d numeric
@attribute e numeric
@attribute f numeric
@attribute g numeric
@attribute h numeric
@attribute cycle {yes,no}

@data
7, 5, 8, 6, 1, 2, 7, 5, yes
7, 5, 8, 6, 2, 3, 8, 6, yes
7, 5, 8, 6, 3, 0, 9, 7, yes
7, 5, 8, 6, 4, 2, 10, 8, yes
7, 5, 8, 6, 5, 3, 11, 9, yes
7, 5, 8, 6, 6, 1, 12, 10, yes
7, 5, 8, 6, 7, 0, 13, 11, yes
7, 5, 8, 6, 8, 3, 14, 12, yes
7, 5, 8, 6, 0, 5, 6, 4, yes
7, 5, 8, 6, 15, 0, 21, 19, yes
7, 5, 8, 6, 14, 0, 20, 18, yes
7, 5, 8, 6, 13, 0, 19, 17, yes
7, 5, 8, 6, 12, 0, 18, 16, yes
7, 5, 8, 6, 11, 0, 17, 15, yes
7, 5, 8, 6, 10, 0, 16, 14, yes
7, 5, 8, 6, 9, 0, 15, 13, yes
8, 2, 9, 7, 1, 3, 4, 2, yes
8, 2, 9, 7, 2, 0, 5, 3, yes
8, 2, 9, 7, 3, 2, 6, 4, yes
8, 2, 9, 7, 4, 3, 7, 5, yes
8, 2, 9, 7, 5, 1, 8, 6, yes
8, 2, 9, 7, 6, 0, 9, 7, yes
8, 2, 9, 7, 7, 3, 10, 8, yes
8, 2, 9, 7, 8, 0, 11, 9, yes
8, 2, 9, 7, 0, 2, 3, 1, yes
8, 2, 9, 7, 15, 0, 18, 16, yes
8, 2, 9, 7, 14, 0, 17, 15, yes
8, 2, 9, 7, 13, 0, 16, 14, yes
8, 2, 9, 7, 12, 0, 15, 13, yes
8, 2, 9, 7, 11, 0, 14, 12, yes
8, 2, 9, 7, 10, 0, 13, 11, yes
8, 2, 9, 7, 9, 0, 12, 10, yes
0, 0, 1, -1, 1, 1, 2, 0, yes
0, 0, 1, -1, 2, 2, 3, 1, yes
0, 0, 1, -1, 3, 0, 4, 2, yes
0, 0, 1, -1, 4, 1, 5, 3, yes
0, 0, 1, -1, 5, 0, 6, 4, yes
0, 0, 1, -1, 6, 2, 7, 5, yes
0, 0, 1, -1, 7, 5, 8, 6, yes
0, 0, 1, -1, 8, 2, 9, 7, yes
0, 0, 1, -1, 0, 0, 1, -1, yes
0, 0, 1, -1, 15, 3, 16, 14, yes
0, 0, 1, -1, 14, 0, 15, 13, yes
0, 0, 1, -1, 13, 1, 14, 12, yes
0, 0, 1, -1, 12, 3, 13, 11, yes
0, 0, 1, -1, 11, 2, 12, 10, yes
0, 0, 1, -1, 10, 0, 11, 9, yes
0, 0, 1, -1, 9, 3, 10, 8, yes
15, 3, 16, 14, 1, 0, 5, 3, yes
15, 3, 16, 14, 2, 0, 6, 4, yes
15, 3, 16, 14, 3, 0, 7, 5, yes
15, 3, 16, 14, 4, 0, 8, 6, yes
15, 3, 16, 14, 5, 0, 9, 7, yes
15, 3, 16, 14, 6, 0, 10, 8, yes
15, 3, 16, 14, 7, 0, 11, 9, yes
15, 3, 16, 14, 8, 0, 12, 10, yes
15, 3, 16, 14, 0, 3, 4, 2, yes
15, 3, 16, 14, 15, 0, 19, 17, yes
15, 3, 16, 14, 14, 0, 18, 16, yes
15, 3, 16, 14, 13, 0, 17, 15, yes
15, 3, 16, 14, 12, 0, 16, 14, yes
15, 3, 16, 14, 11, 0, 15, 13, yes
15, 3, 16, 14, 10, 0, 14, 12, yes
15, 3, 16, 14, 9, 0, 13, 11, yes
14, 0, 15, 13, 1, 3, 2, 0, yes
14, 0, 15, 13, 2, 0, 3, 1, yes
14, 0, 15, 13, 3, 0, 4, 2, yes
14, 0, 15, 13, 4, 0, 5, 3, yes
14, 0, 15, 13, 5, 0, 6, 4, yes
14, 0, 15, 13, 6, 0, 7, 5, yes
14, 0, 15, 13, 7, 0, 8, 6, yes
14, 0, 15, 13, 8, 0, 9, 7, yes
14, 0, 15, 13, 0, 0, 1, -1, yes
14, 0, 15, 13, 15, 0, 16, 14, yes
14, 0, 15, 13, 14, 0, 15, 13, yes
14, 0, 15, 13, 13, 0, 14, 12, yes
14, 0, 15, 13, 12, 0, 13, 11, yes
14, 0, 15, 13, 11, 0, 12, 10, yes
14, 0, 15, 13, 10, 0, 11, 9, yes
14, 0, 15, 13, 9, 0, 10, 8, yes
13, 1, 14, 12, 1, 0, 3, 1, yes
13, 1, 14, 12, 2, 3, 4, 2, yes
13, 1, 14, 12, 3, 0, 5, 3, yes
13, 1, 14, 12, 4, 0, 6, 4, yes
13, 1, 14, 12, 5, 0, 7, 5, yes
13, 1, 14, 12, 6, 0, 8, 6, yes
13, 1, 14, 12, 7, 0, 9, 7, yes
13, 1, 14, 12, 8, 0, 10, 8, yes
13, 1, 14, 12, 0, 1, 2, 0, yes
13, 1, 14, 12, 15, 0, 17, 15, yes
13, 1, 14, 12, 14, 0, 16, 14, yes
13, 1, 14, 12, 13, 0, 15, 13, yes
13, 1, 14, 12, 12, 0, 14, 12, yes
13, 1, 14, 12, 11, 0, 13, 11, yes
13, 1, 14, 12, 10, 0, 12, 10, yes
13, 1, 14, 12, 9, 0, 11, 9, yes
12, 3, 13, 11, 1, 1, 5, 3, yes
12, 3, 13, 11, 2, 0, 6, 4, yes
12, 3, 13, 11, 3, 3, 7, 5, yes
12, 3, 13, 11, 4, 0, 8, 6, yes
12, 3, 13, 11, 5, 0, 9, 7, yes
12, 3, 13, 11, 6, 0, 10, 8, yes
12, 3, 13, 11, 7, 0, 11, 9, yes
12, 3, 13, 11, 8, 0, 12, 10, yes
12, 3, 13, 11, 0, 3, 4, 2, yes
12, 3, 13, 11, 15, 0, 19, 17, yes
